country_code,country_name,cereal_yield_kg_per_ha,fertiliser_kg_per_ha,arable_land_pct,population_total,gdp_per_capita_usd,internet_users_pct,stunting_pct_children,irrigated_land_pct,account_ownership_pct,bank_branches_per_100k,atm_per_100k,cereal_loss_pct,fertiliser_efficiency
AFG,Afghanistan,2099.1,5.20258015072168,12.0034343713107,40000412,408.625855217403,16.51429939,,6.32161407355206,9.65382184434304,,,,403.47
AGO,Angola,996.1,5.63313388182498,4.28972487366648,34532429,2832.81777132286,34.55649948,,,,8.0358321987126,17.1660178613288,2.52,176.83
ALB,Albania,5144.7,81.4735789298216,21.8941605839416,2489762,5511.75743402862,79.32371752,,16.5444897168956,44.1741742874165,16.3984709487917,34.9210961655616,,63.15
ARE,United Arab Emirates,19809.2,327.41550695825,0.708251196845959,9575152,40935.8936567784,100.0,,23.9962304772047,85.7421930087712,8.12887615896256,55.3166247597514,,60.5
ARG,Argentina,5410.4,62.1493760212176,15.4306845130431,45312281,12549.2811699342,87.15070683,,,71.6270859300586,12.9452813637679,74.9943362613879,0.9,87.05
ARM,Armenia,1287.2,46.3104956925714,15.7257362373209,2962300,4264.79961505187,78.61225758,,9.30786591991975,55.3477332562389,25.6642770373159,75.0117290248565,,27.79
ATG,Antigua and Barbuda,2000.9,8.5,9.09090909090909,92349,16084.7214406048,71.64530182,,,,19.8218674842086,55.501228955784,,235.4
AUS,Australia,2817.0,120.125219894451,4.0646020161154,25685412,59465.535671364,96.97219849,,0.535047686640863,99.323149822978,21.0768340029286,122.402079886208,,23.45
AUT,Austria,7112.4,128.259330316928,16.0315232670868,8955797,45368.6434337368,92.52915104,,,99.9507174861928,12.3378521260167,168.55644912964,2.44,55.45
AZE,Azerbaijan,3297.4,22.3925323121111,25.275257108288,10137750,5349.58226071425,85.99998954,,30.7346358197716,,6.54798349337642,38.5099227234217,3.68,147.25
BDI,Burundi,1189.0,19.0740157480315,49.4548286604361,12965481,264.682651664249,6.777999878,,,,3.17468700404787,1.45382862802192,3.12,62.34
BEL,Belgium,7906.2,252.75403169909,28.3872237161409,11586195,43140.9676652971,92.78867618,,,99.0056968401204,22.7916024962192,58.6780166084479,,31.28
BEN,Benin,1408.6,32.687064738754,30.9233283079106,13413417,1176.37727637273,28.20470047,34.1,,48.605530136871,3.37662334182,4.14038338342214,2.73,43.09
BFA,Burkina Faso,1095.7,9.33720446889416,28.4413676900585,21995243,745.472563435144,18.1522007,21.1,,36.1085342551293,2.68689281887429,4.37834040665961,2.53,117.35
BGD,Bangladesh,4964.4,395.72014579444,60.4908965199355,167658854,1702.08028414189,38.91744466,,84.3491187088554,52.8060649194004,8.83053292077507,11.2647701983266,,12.55
