country_code,country_name,cereal_yield_kg_per_ha,fertiliser_kg_per_ha,arable_land_pct,irrigated_land_pct,livestock_production_index,gdp_per_capita_usd,agri_value_added_pct_gdp,food_price_inflation_pct,population_total,rural_population_pct,agri_employment_pct,female_agri_employment_pct,internet_users_pct,rural_electricity_access_pct,stunting_pct_children,account_ownership_pct,account_ownership_female_pct,account_ownership_poorest40_pct,bank_branches_per_100k,atm_per_100k,private_credit_pct_gdp,bank_deposits_pct_gdp,cereal_loss_pct,wgi_control_of_corruption,wgi_government_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_of_law,wgi_voice_accountability,lpi_overall,trade_pct_gdp,poverty_headcount_pct_215,mobile_subscriptions_per_100,fertiliser_efficiency,bank_branches_scaled,atm_scaled,credit_scaled,value_chain_finance_score,cereal_availability_kg_pc
AFG,Afghanistan,2099.1,5.20258015072168,12.0034343713107,6.32161407355206,96.07,408.625855217403,33.5976188725451,5.13320340824962,40000412,74.6521379727519,50.2317691205323,74.4806014482023,16.51429939,97.1,,9.65382184434304,,,,,,,7.59,-1.22202489999999,-1.7059035,-2.4506389,-1.40994469999999,-1.7202682,-1.42797209999999,1.9,51.41,20.37,56.6944760468967,403.47,,,,,566.35955
AGO,Angola,996.1,5.63313388182498,4.28972487366648,,122.72,2832.81777132286,16.561923695764,25.754294884189,34532429,31.7475836443031,56.7075087680521,61.3740739192677,34.55649948,,,,,,8.0358321987126,17.1660178613288,8.70249637691384,7.75707708708077,12.98,-0.6416506,-0.9347008,-0.7936068,-0.8486184,-1.0980135,-0.998508499999999,2.1,61.53,27.22,44.3868689341257,176.83,6.55,5.66,3.36,5.19,252.25515
ALB,Albania,5144.7,81.4735789298216,21.8941605839416,16.5444897168956,91.79,5511.75743402862,17.793224984541,2.04147163139544,2489762,42.4922812968222,33.8047708533941,39.665422047673,79.32371752,100.0,,44.1741742874165,45.6861097525436,34.3555700968774,16.3984709487917,34.9210961655616,36.4341686860283,33.6074118897679,5.97,-0.60203,0.1116368,0.0239536,-0.0049463,-0.2015586,-0.0004042999999999,2.5,75.59,0.0,92.4843357131703,63.15,13.36,11.51,14.06,23.79,274.06390000000005
ARE,United Arab Emirates,19809.2,327.41550695825,0.708251196845959,23.9962304772047,137.98,40935.8936567784,0.890347914421406,0.179935336174431,9575152,14.6428091488645,1.64924253622621,0.0699916072703586,100.0,100.0,,85.7421930087712,86.6829485997078,75.9677670946687,8.12887615896256,55.3166247597514,76.1676429790591,73.8536279115337,3.4,1.0349829,1.0744083,0.8395809999999999,1.0613347,0.3385039999999999,-0.835888499999999,,182.91,0.0,186.30089463245,60.5,6.62,18.24,29.39,43.38,400.01810000000006
ARG,Argentina,5410.4,62.1493760212176,15.4306845130431,,111.03,12549.2811699342,7.29128249622041,48.4093786255199,45312281,7.9707223824349,7.75008753977912,4.09614704789845,87.15070683,100.0,,71.6270859300586,73.7532007447968,57.0962488085077,12.9452813637679,74.9943362613879,13.2644289814534,11.2727076291742,5.15,-0.3273298,0.1125651,0.0921998,-0.584024299999999,-0.303899,0.5235453999999999,2.8,33.08,0.84,130.352799939601,87.05,10.54,24.73,5.12,34.25,362.33185000000003
ARM,Armenia,1287.2,46.3104956925714,15.7257362373209,9.30786591991975,105.3,4264.79961505187,11.3435484176857,7.1848362944337,2962300,34.6427124685559,28.3441639766894,31.6145115901735,78.61225758,100.0,,55.3477332562389,52.1827201673961,44.557773571195,25.6642770373159,75.0117290248565,61.6738125458808,58.9303945859551,6.57,0.0558397999999999,-0.3553578,-0.5019,0.1972098,-0.1028405,0.1047104,2.5,79.25,0.35,125.395134877327,27.79,20.9,24.73,23.8,33.23,397.28060000000005
ATG,Antigua and Barbuda,2000.9,8.5,9.09090909090909,,79.48,16084.7214406048,2.08080004808426,2.06299638545334,92349,75.425016180434,,,71.64530182,100.0,,,,,19.8218674842086,55.501228955784,45.4347464248891,45.4347464248891,9.0,0.1814889999999999,-0.6089105,0.9147636,0.5644068,0.5666971,0.5304723,2.9,101.07,1.0,199.244171566557,235.4,16.15,18.3,17.53,17.33,225.5335
AUS,Australia,2817.0,120.125219894451,4.0646020161154,0.535047686640863,87.88,59465.535671364,2.30537875480088,2.86391284709318,25685412,12.7646592367239,2.4984121870069,1.79625951800494,96.97219849,100.0,,99.323149822978,100.0,86.4782956195717,21.0768340029286,122.402079886208,138.339567139855,138.339567139855,3.66,1.6770561,1.7024874,0.8536507,1.7860102999999998,1.5701838,1.4353311,3.7,40.2,0.61,105.118514623956,23.45,17.17,40.36,53.38,59.48,251.20030000000003
AUT,Austria,7112.4,128.259330316928,16.0315232670868,,100.31,45368.6434337368,1.2152388657488,2.7666666666667,8955797,31.226398299747,3.73480929883985,3.39466783774995,92.52915104,100.0,,99.9507174861928,100.0,100.0,12.3378521260167,168.55644912964,93.0624546800894,92.7677951035475,2.36,1.3601171,1.8163061,0.7543747,1.4481822,1.7167011,1.4910037,4.0,111.03,0.5499999999999999,121.357731973824,55.45,10.05,55.58,35.91,60.31,331.00025
AZE,Azerbaijan,3297.4,22.3925323121111,25.275257108288,30.7346358197716,118.46,5349.58226071425,5.72598365721349,6.65029912708778,10137750,41.6340030255182,35.8696760423606,40.5636624789419,85.99998954,100.0,,,,,6.54798349337642,38.5099227234217,22.9250440750459,21.9529518709336,1.64,-0.775813299999999,-0.0569922999999999,-0.4888287,-0.0594814,-0.608585199999999,-1.433342,,76.29,0.0,105.693559477177,147.25,5.33,12.7,8.85,8.96,554.289
BDI,Burundi,1189.0,19.0740157480315,49.4548286604361,,130.35,264.682651664249,33.162974332658,8.4045384507634,12965481,78.8891138134646,85.6601285278926,92.7325973628813,6.777999878,1.6,,,,,3.17468700404787,1.45382862802192,28.3775482102837,28.0118666393617,13.6,-1.390618,-1.1242343,-1.37835589999999,-1.00004119999999,-1.3122824,-1.43815269999999,2.06,,54.17,59.700785493419,62.34,2.59,0.48,10.95,4.67,
