ISO3 Code,Country,Cereal Availability (kg/person/yr),Cereal Yield (kg/ha),GDP per Capita (USD),Rural Electricity Access (%),Post-Harvest Loss (%),Trade % GDP,Fertiliser Efficiency,Rural Population (%),Availability Band
AFG,Afghanistan,566.35955,2099.1,408.625855217403,97.1,7.59,51.41,403.47,74.6521379727519,Very High
AGO,Angola,252.25515,996.1,2832.81777132286,,12.98,61.53,176.83,31.7475836443031,Very Low
ALB,Albania,274.06390000000005,5144.7,5511.75743402862,100.0,5.97,75.59,63.15,42.4922812968222,Very Low
ARE,United Arab Emirates,400.01810000000006,19809.2,40935.8936567784,100.0,3.4,182.91,60.5,14.6428091488645,Medium
ARG,Argentina,362.33185,5410.4,12549.2811699342,100.0,5.15,33.08,87.05,7.9707223824349,Low
ARM,Armenia,397.2806000000001,1287.2,4264.79961505187,100.0,6.57,79.25,27.79,34.6427124685559,Medium
ATG,Antigua and Barbuda,225.5335,2000.9,16084.7214406048,100.0,9.0,101.07,235.4,75.425016180434,Very Low
AUS,Australia,251.20030000000003,2817.0,59465.535671364,100.0,3.66,40.2,23.45,12.7646592367239,Very Low
AUT,Austria,331.00025,7112.4,45368.6434337368,100.0,2.36,111.03,55.45,31.226398299747,Low
AZE,Azerbaijan,554.289,3297.4,5349.58226071425,100.0,1.64,76.29,147.25,41.6340030255182,Very High
BEL,Belgium,271.6038,7906.2,43140.9676652971,100.0,0.83,177.38,31.28,12.5694435909365,Very Low
BFA,Burkina Faso,584.0437999999999,1095.7,745.472563435144,,13.4,62.42,117.35,73.1885692256983,Very High
BGD,Bangladesh,645.8675,4964.4,1702.08028414189,98.5,4.09,27.72,12.55,68.6007843113939,Very High
BGR,Bulgaria,346.76095000000004,5949.6,9161.47737990726,99.5,11.21,121.21,47.09,26.653234381959,Low
BHS,"Bahamas, The",235.23155000000003,7840.0,29114.0597726386,100.0,9.0,65.93,76.58,18.5215764654917,Very Low
BIH,Bosnia and Herzegovina,441.58795,4422.1,5995.54197590494,100.0,4.87,96.74,71.3,49.5100520522966,High
BLR,Belarus,305.2495,3002.8,6457.73053706343,100.0,4.16,136.01,17.73,21.868913196306,Very Low
BLZ,Belize,363.79915,4289.5,5839.40157956017,97.1,4.96,98.98,11.34,57.6089190794706,Low
BOL,Bolivia,365.9636,2523.0,3011.55110807557,95.1,1.43,47.67,270.47,29.6549587173835,Medium
BRA,Brazil,331.94925,4479.0,8799.22844579944,97.3,10.51,37.66,11.58,12.8639218284561,Low
BRB,Barbados,321.7767,2816.0,17475.0281776857,100.0,1.47,,75.82,40.6779634566181,Low
BTN,Bhutan,714.378,3344.7,3206.20366997254,100.0,2.83,77.58,326.07,59.6924800125621,Very High
BWA,Botswana,442.6428,1002.6,6895.91184943107,25.0,10.0,88.76,16.92,33.4817232931745,High
CAN,Canada,306.96865,3119.8,44639.193269037,100.0,4.46,62.25,24.75,17.8220720920725,Very Low
CHE,Switzerland,286.4374,5515.8,88661.2029776281,100.0,1.49,130.02,31.13,15.7993522391121,Very Low
CHL,Chile,401.17515,6491.2,14051.4713630677,100.0,2.01,64.88,22.6,11.5339488335548,Medium
CHN,China,579.8974000000001,6317.5,11469.5707134928,100.0,3.8,36.52,15.55,35.278923034668,Very High
CIV,Cote d'Ivoire,378.37725000000006,2255.1,2146.47635317946,45.2,13.375,45.11,61.64,47.6816538043941,Medium
CMR,Cameroon,428.875,1726.7,1443.57600237663,24.8,12.699999999999998,36.73,102.58,45.4451335536365,High
COD,"Congo, Dem. Rep.",119.33675,897.4,485.160805929784,1.0,5.39,75.39,430.09,56.3709318207782,Very Low
COG,"Congo, Rep.",177.4265,894.4,1701.79060456872,12.4,14.95,85.55,91.76,36.3820874175804,Very Low
COL,Colombia,317.60475,4278.9,6457.16921807086,100.0,3.76,40.06,8.36,22.1660429673872,Low
COM,Comoros,361.54345,1770.3,1359.76242021159,82.9,9.0,42.07,523.04,67.5875555686754,Low
CPV,Cabo Verde,521.6361,16.3,3471.6553421786,96.9,9.0,77.46,4.03,25.8392069107173,Very High
CRI,Costa Rica,331.7266,4311.2,13146.6927918465,100.0,4.31,70.78,4.98,22.0131059799991,Low
CYP,Cyprus,366.0658,2063.5,29517.072265625,100.0,0.26,176.83,13.21,33.3281634605029,Medium
CZE,Czechia,241.3088,6113.0,20373.8783043424,100.0,2.16,137.38,41.13,27.3189405625684,Very Low
DEU,Germany,274.16245000000004,6998.1,44011.0194631674,100.0,3.35,79.92,53.77,18.3674129346066,Very Low
DJI,Djibouti,500.00255,2021.1,2854.15987035097,36.6,9.0,263.48,66.63,27.7117045443485,Very High
DNK,Denmark,296.51505,6355.0,59312.8158043771,100.0,1.99,112.32,45.58,11.7383550681851,Very Low
DOM,Dominican Republic,290.24069999999995,4784.8,8344.90510312395,94.8,2.91,51.95,30.39,27.0756652604965,Very Low
DZA,Algeria,590.3437000000001,1433.7,4456.74687637774,99.3,5.99,46.84,69.35,26.3800781738427,Very High
ECU,Ecuador,344.8155,4016.0,5815.09477390949,100.0,3.11,53.26,10.92,36.9128731750883,Low
EGY,"Egypt, Arab Rep.",680.01325,7340.5,3837.31992324447,100.0,6.83,29.86,13.55,57.4313937378532,Very High
ESP,Spain,278.80525,4227.4,26705.3629138959,100.0,0.43,66.52,26.76,20.2153757016402,Very Low
EST,Estonia,218.11305,3502.4,21570.6658455268,100.0,2.02,160.47,33.84,29.8222725864178,Very Low
ETH,Ethiopia,662.44215,2660.6,790.65701959778,42.8,12.933333333333332,24.35,63.69,77.8932914733887,Very High
FIN,Finland,356.9189,2777.3,45792.0454180872,100.0,2.85,79.79,28.32,26.6289784219671,Low
FJI,Fiji,317.90405,3887.4,4507.33353596072,86.8,0.67,,51.03,42.3381635238072,Low
FRA,France,332.807,7171.3,38030.8571685178,100.0,2.04,63.79,41.78,21.2635396607662,Low
FSM,"Micronesia, Fed. Sts.",258.12435,1721.5,3023.96457451783,79.4,8.5,87.33,,77.6071237144589,Very Low
GAB,Gabon,314.2285,1587.1,6479.04900690761,26.8,2.45,85.35,56.18,9.2118032713033,Very Low
GBR,United Kingdom,347.7501,6966.8,46487.3424706549,100.0,0.48,58.54,28.86,17.0113568476359,Low
GEO,Georgia,484.84045,2750.4,5175.19865185825,100.0,2.14,101.6,16.23,40.5706439381995,High
GHA,Ghana,318.46615,2360.5,2030.04866500967,74.0,13.375,62.71,63.18,43.3047443173464,Low
GIN,Guinea,459.61165,1356.5,973.646890096159,21.3,14.1,115.2,334.84,63.1497821563744,High
GMB,"Gambia, The",466.44445,1054.1,689.49323955737,31.2,13.375,42.1,471.35,37.2449293362141,High
GNB,Guinea-Bissau,534.23955,1352.6,729.627090607537,15.8,13.375,44.81,75.29,55.2665863037109,Very High
GRC,Greece,299.83655,4194.7,19232.9683327114,100.0,1.97,88.01,22.29,21.6115101352558,Very Low
GRD,Grenada,228.89515,999.3,8782.32193426078,,9.0,,11.53,63.7168396293092,Very Low
GTM,Guatemala,405.02955,1990.2,4268.62858565412,98.1,2.4,49.26,9.07,45.0952928446242,Medium
GUY,Guyana,387.42195,5443.6,10711.9973374148,91.2,9.95,,20.65,73.556696038053,Medium
HKG,"Hong Kong SAR, China",284.7365,2039.9,44530.9262090583,100.0,0.21,402.46,4.06,0.0,Very Low
HND,Honduras,405.50405,1885.7,2423.76634916911,85.7,1.88,103.37,9.87,42.6449763642453,High
HRV,Croatia,319.29470000000003,7012.9,15395.1287782758,100.0,4.83,102.33,33.7,43.2316497439829,Low
HTI,Haiti,372.24160000000006,1070.6,1292.71954963551,,1.04,37.05,144.15,46.7539362081974,Medium
HUN,Hungary,330.4783,5920.0,15787.9535427563,100.0,0.87,159.19,35.77,29.7940724668587,Low
IDN,Indonesia,504.33875,5695.7,3850.68877253903,98.2,4.57,40.2,14.94,43.1238297535973,Very High
IND,India,480.6831,3527.9,1965.30943437506,99.3,4.48,45.42,18.22,65.5574482818696,High
IRL,Ireland,319.32025,8606.5,92781.2322150786,100.0,2.36,231.03,6.6,36.3225770643015,Low
IRN,"Iran, Islamic Rep.",520.8769,2301.5,5300.62271961895,100.0,2.64,42.67,33.7,24.0073623657227,Very High
IRQ,Iraq,579.04695,2793.3,4182.5006404573,100.0,4.26,61.5,55.03,30.1317291259766,Very High
ISL,Iceland,367.336,3120.8,54285.0209153958,100.0,3.0,76.23,22.31,5.7891793596159,Medium
ISR,Israel,411.3769,2147.5,40804.9689802536,100.0,1.85,54.9,7.61,8.4646482450534,High
ITA,Italy,385.3451,5562.8,32267.7091050201,100.0,1.18,60.3,49.32,30.5187492370606,Medium
JAM,Jamaica,320.41525,1118.0,5607.45378253877,100.0,9.0,,17.12,42.4588982062774,Low
JOR,Jordan,375.658,1532.0,3874.32714084633,98.8,2.58,80.33,17.29,7.88202708954699,Medium
KAZ,Kazakhstan,322.9228,1038.3,10873.3915275276,100.0,6.81,58.67,233.56,38.969745719733,Low
KEN,Kenya,352.02060000000006,1522.4,1698.89578271444,68.2,13.5,35.0,28.7,68.7120665978029,Low
KGZ,Kyrgyz Republic,362.6713,2334.9,1132.5546781282,99.6,0.73,100.26,89.46,65.2478789828796,Low
KHM,Cambodia,519.6505,3565.6,1938.76436741728,77.1,6.21,146.18,71.91,59.8908141871153,Very High
KOR,"Korea, Rep.",398.24785,6826.1,34792.9397214598,100.0,2.04,75.31,24.25,18.8383473492215,Medium
KWT,Kuwait,463.33465,14702.4,26203.2617257856,100.0,1.63,82.0,12.17,0.0,High
LAO,Lao PDR,583.9562000000001,3993.8,2556.58912640405,100.0,4.16,,55.39,62.661221731643,Very High
LBN,Lebanon,391.2581,2177.9,5973.41933892988,100.0,1.96,78.83,15.13,10.034637954559,Medium
LBR,Liberia,395.67095,1051.9,621.927983063426,8.1,11.4,,67.87,46.0775381140902,Medium
LBY,Libya,438.85045,673.4,7731.35448152581,,5.52,164.28,45.74,12.1634981728165,High
LKA,Sri Lanka,629.42425,4541.1,4357.97225779491,100.0,3.32,41.23,29.5,80.1733724804731,Very High
LSO,Lesotho,404.99305,972.5,955.221236301503,37.7,12.966666666666669,139.19,61.66,59.3448239148003,Medium
LTU,Lithuania,353.96605,3937.2,18569.7057246217,100.0,4.45,154.81,28.19,31.8087882995605,Low
LUX,Luxembourg,339.29305000000005,5593.3,110873.185245175,100.0,0.82,397.51,24.64,5.4138256603467,Low
LVA,Latvia,290.44875,3900.2,16070.1680032322,100.0,1.41,136.8,34.88,31.8191208536307,Very Low
MAR,Morocco,700.9533,2328.7,3309.130859375,100.0,4.87,75.52,40.0,37.6826723399711,Very High
MDA,Moldova,353.25064999999995,5157.7,3688.16729442144,100.0,0.87,88.47,110.73,58.1884574890137,Low
